GEN_TsB;INV_S;PFC_Ia;PFC_Ib;PFC_Ic;PFC_VBus;InjectorDuty;T13;T2;w9;T91;T41_44_avg
381,4;307,6;8,3;8,3;8,1;706,4;0,4;318,9;335,2;140274;404,8;1115,3
381,4;304,1;13,4;13,2;12,9;700,6;0,5;318,9;335,3;140210;404,8;1115,3
381,6;304,5;14,4;14,7;13,8;678,4;0,5;319,0;335,3;141100;404,8;1115,2
381,5;306,2;7,6;7,5;7,5;664,2;0,5;319,0;335,2;138407;404,6;1115,3
381,5;306,7;8,4;8,7;8,5;722,9;0,4;319,0;335,2;139660;404,6;1115,3
381,4;304,7;8,9;9,1;9,8;738,7;0,5;318,9;335,2;140309;404,5;1115,3
381,5;304,1;13,5;13,1;13,0;702,1;0,5;318,9;335,2;140338;404,5;1115,3
381,6;307,3;7,6;6,9;6,8;689,7;0,5;318,9;335,2;139013;404,5;1115,3
381,5;305,5;8,7;9,2;9,7;738,5;0,5;318,9;335,3;140589;404,7;1115,3
381,4;303,7;12,5;11,8;12,1;710,4;0,5;318,9;335,2;138832;404,5;1115,3
381,6;306,5;8,3;8,5;8,4;716,2;0,5;319,0;335,2;140159;404,2;1115,3
381,5;303,6;9,2;8,6;10,3;736,2;0,5;319,0;335,2;140118;404,0;1115,2
381,6;305,1;10,7;11,2;10,8;664,7;0,5;319,1;335,2;139418;404,2;1115,1
381,5;305,1;8,7;9,1;9,3;737,0;0,5;319,1;335,2;140647;404,1;1115,1
381,6;304,0;14,2;14,5;13,7;681,2;0,5;319,0;335,2;142132;404,1;1115,1
381,6;307,3;6,0;5,3;5,3;670,9;0,5;319,0;335,2;140267;404,0;1115,2
381,5;303,7;12,5;11,7;12,2;710,9;0,4;319,0;335,1;139877;404,1;1115,2
381,5;304,8;10,4;10,7;10,5;664,4;0,5;318,9;335,1;141911;404,1;1115,1
381,5;306,1;7,2;6,9;7,0;664,8;0,5;318,9;335,2;138662;404,2;1115,1
381,6;305,3;8,9;9,5;9,6;736,7;0,4;318,9;335,2;139503;404,2;1115,1
381,5;305,2;9,1;9,2;10,2;739,7;0,5;319,0;335,2;140031;404,3;1115,1
381,5;304,4;9,1;8,9;10,2;737,6;0,5;319,0;335,1;141104;404,5;1115,1
381,7;305,3;8,6;8,6;8,6;662,6;0,5;319,0;335,1;142046;404,7;1115,1
381,5;306,6;6,4;5,6;5,6;678,9;0,4;319,0;335,1;140870;404,6;1115,1
381,7;306,8;6,3;5,5;5,6;678,1;0,4;319,0;335,2;138588;404,5;1115,1
